"Item_Number","District","Location","Disposition","Signal_Type","Signal_Description","Occurred_Date_Time","Charge_Code","Charge_Description","Offender_Number","OffenderID","OffenderStatus","Offender_Race","Offender_Gender","Offender_Age","Victim_Number","PersonType","Victim_Race","Victim_Gender","Victim_Age","Victim_Fatal_Status","Hate Crime","Report Type"
"A-10069-25","7","077XX Mill St","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-01-11 22:00:00",,,,,,,,,"2","NON-VICTIM","BLACK","MALE",,"Non-fatal",,"Incident Report"
"A-10069-25","7","077XX Mill St","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-01-11 22:00:00",,,,,,,,,"3","INTERVIEW","BLACK","MALE","52","Non-fatal",,"Incident Report"
"A-10448-25","7","147XX Chef Menteur Hw #601","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-01-12 14:00:00",,,,,,,,,"1","NON-VICTIM","BLACK","FEMALE",,"Non-fatal",,"Incident Report"
"A-10319-25","1","010XX Marais St","OPEN","103","DISTURBANCE","2025-01-12 10:37:00",,,,,,,,,"3","INTERVIEW","BLACK","MALE","36","Non-fatal",,"Incident Report"
"A-10356-25","5","031XX N Prieur St","OPEN","29U","UNCLASSIFIED DEATH","2025-01-12 11:00:00",,,,,,,,,"1","VICTIM","WHITE","FEMALE","45","Non-fatal",,"Incident Report"
"A-10356-25","5","031XX N Prieur St","OPEN","29U","UNCLASSIFIED DEATH","2025-01-12 11:00:00",,,,,,,,,"2","REPORTING PERSON","WHITE","MALE","45","Non-fatal",,"Incident Report"
"A-10481-25","3","Franklin Av & Filmore Av","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-01-12 14:50:00",,,,,,,,,"1","REPORTING PERSON","BLACK","FEMALE","35","Non-fatal",,"Incident Report"
"A-10356-25","5","031XX N Prieur St","OPEN","29U","UNCLASSIFIED DEATH","2025-01-12 11:00:00",,,,,,,,,"3","INTERVIEW","WHITE","MALE","47","Non-fatal",,"Incident Report"
"A-10481-25","3","Franklin Av & Filmore Av","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-01-12 14:50:00",,,,,,,,,"2","INTERVIEW","BLACK","MALE","31","Non-fatal",,"Incident Report"
"A-10496-25","6","027XX Josephine St","OPEN","21","MISCELLANEOUS INCIDENT","2025-01-12 15:00:00",,,,,,,,,"1","REPORTING PERSON","BLACK","FEMALE","67","Non-fatal",,"Incident Report"
"A-10496-25","6","027XX Josephine St","OPEN","21","MISCELLANEOUS INCIDENT","2025-01-12 15:00:00",,,,,,,,,"2","INTERVIEW","BLACK","FEMALE","39","Non-fatal",,"Incident Report"
"A-10477-25","3","Metairie Rd & Pontchartrain Bd","OPEN","21R","OUT OF PARISH VEHICLE RECOVERY","2025-01-12 13:55:00",,,,,,,,,"1","VICTIM",,,,"Non-fatal",,"Incident Report"
"A-10471-25","3","036XX Duplessis St","OPEN","62C","SIMPLE BURGLARY (VEHICLE)","2025-01-12 07:00:00","14 62","SIMPLE BURGLARY","1","931143",,"UNKNOWN","UNKNOWN",,"1","VICTIM","BLACK","MALE","34","Non-fatal",,"Incident Report"
"A-10471-25","3","036XX Duplessis St","OPEN","62C","SIMPLE BURGLARY (VEHICLE)","2025-01-12 07:00:00","14 56","SIMPLE CRIMINAL DAMAGE TO PROPERTY","1","931143",,"UNKNOWN","UNKNOWN",,"1","VICTIM","BLACK","MALE","34","Non-fatal",,"Incident Report"
"A-10471-25","3","036XX Duplessis St","OPEN","62C","SIMPLE BURGLARY (VEHICLE)","2025-01-12 07:00:00",,,"1","931143",,"UNKNOWN","UNKNOWN",,"2","VICTIM","BLACK","FEMALE","33","Non-fatal",,"Incident Report"
"A-10499-25","5","013XX Lesseps St","OPEN","21","MISCELLANEOUS INCIDENT","2025-01-12 15:13:00","14 67.26","THEFT OF A MOTOR VEHICLE","1","931150",,"BLACK","MALE",,"1","VICTIM","BLACK","FEMALE","56","Non-fatal",,"Incident Report"
"A-10499-25","5","013XX Lesseps St","OPEN","21","MISCELLANEOUS INCIDENT","2025-01-12 15:13:00","14 67.26","THEFT OF A MOTOR VEHICLE","2","931151",,"BLACK","MALE",,"1","VICTIM","BLACK","FEMALE","56","Non-fatal",,"Incident Report"
"A-10352-25","4","Odeon Av & General Meyer Av","OPEN","21","MISCELLANEOUS INCIDENT","2025-01-11 15:17:00",,,,,,,,,"1","REPORTING PERSON","BLACK","FEMALE","27","Non-fatal",,"Incident Report"
"A-10370-25","8","010XX N Peters St","CLOSED","67S","SHOPLIFTING","2025-01-12 11:57:00","54 186","THEFT","1","931153","ARRESTED","BLACK","MALE","40","2","REPORTING PERSON","WHITE","FEMALE","26","Non-fatal",,"Incident Report"
"A-10176-25","2","024XX Soniat St","OPEN","29","DEATH","2025-01-12 04:45:00",,,,,,,,,"1","VICTIM","BLACK","MALE","74","Fatal",,"Incident Report"
"A-10509-25","5","024XX Frenchmen St","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-01-12 15:45:00",,,,,,,,,"1","INTERVIEW","BLACK","FEMALE","27","Non-fatal",,"Incident Report"
"A-10176-25","2","024XX Soniat St","OPEN","29","DEATH","2025-01-12 04:45:00",,,,,,,,,"2","INTERVIEW","BLACK","FEMALE","94","Non-fatal",,"Incident Report"
"A-10509-25","5","024XX Frenchmen St","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-01-12 15:45:00",,,,,,,,,"2","INTERVIEW","BLACK","MALE",,"Non-fatal",,"Incident Report"
"A-10176-25","2","024XX Soniat St","OPEN","29","DEATH","2025-01-12 04:45:00",,,,,,,,,"3","INTERVIEW","BLACK","MALE","56","Non-fatal",,"Incident Report"
"A-10528-25","7","097XX Chef Menteur Hw","OPEN","67S","SHOPLIFTING","2025-01-12 16:00:00","14 67","THEFT","1","931154",,"BLACK","MALE",,"1","VICTIM",,,,"Non-fatal",,"Incident Report"
"A-10528-25","7","097XX Chef Menteur Hw","OPEN","67S","SHOPLIFTING","2025-01-12 16:00:00",,,"1","931154",,"BLACK","MALE",,"2","REPORTING PERSON","BLACK","FEMALE","23","Non-fatal",,"Incident Report"
"A-10495-25","5","013XX Port St","OPEN","21P","LOST PROPERTY","2025-01-11 01:30:00",,,,,,,,,"1","VICTIM","BLACK","FEMALE","70","Non-fatal",,"Incident Report"
"A-10555-25","6","012XX 8th St","OPEN","21J","MISSING/RUNAWAY JUVENILE","2025-01-12 13:00:00","14 730.3","RUNAWAY JUVENILE","1","931155",,"BLACK","FEMALE","17","1","VICTIM","BLACK","FEMALE",,"Non-fatal",,"Incident Report"
"A-10566-25","6","012XX S Saratoga St","OPEN","35","SIMPLE BATTERY","2025-01-12 17:10:00","54 96","BATTERY","1","931156",,"BLACK","FEMALE","50","1","VICTIM","BLACK","FEMALE","48","Non-fatal",,"Incident Report"
"A-10566-25","6","012XX S Saratoga St","OPEN","35","SIMPLE BATTERY","2025-01-12 17:10:00","54 96","BATTERY","2","931157",,"BLACK","FEMALE",,"1","VICTIM","BLACK","FEMALE","48","Non-fatal",,"Incident Report"
"A-10524-25","1","029XX Cleveland Av","OPEN","62C","SIMPLE BURGLARY (VEHICLE)","2025-01-11 21:40:00","14 62","SIMPLE BURGLARY","1","931158",,"UNKNOWN","UNKNOWN",,"1","VICTIM","WHITE","MALE","49","Non-fatal",,"Incident Report"
"A-10503-25","7","078XX Shelly St","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-01-12 15:37:00",,,,,,,,,"1","REPORTING PERSON","BLACK","FEMALE","38","Non-fatal",,"Incident Report"
"A-10503-25","7","078XX Shelly St","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-01-12 15:37:00",,,,,,,,,"2","INTERVIEW","BLACK","MALE","32","Non-fatal",,"Incident Report"
"A-10584-25","8","004XX Bourbon St","OPEN","67F","THEFT BY FRAUD","2025-01-11 23:31:00","14 67.16","IDENTITY THEFT","1","931159",,"WHITE","FEMALE",,"1","VICTIM","UNKNOWN","MALE","35","Non-fatal",,"Incident Report"
"A-10524-25","1","029XX Cleveland Av","OPEN","62C","SIMPLE BURGLARY (VEHICLE)","2025-01-11 21:40:00",,,"1","931158",,"UNKNOWN","UNKNOWN",,"2","VICTIM","WHITE","FEMALE","47","Non-fatal",,"Incident Report"
"A-10008-25","8","007XX N Rampart St","OPEN","103","DISTURBANCE","2025-01-11 20:45:00",,,,,,,,,"1","VICTIM","WHITE","FEMALE","47","Non-fatal",,"Incident Report"
"A-10008-25","8","007XX N Rampart St","OPEN","103","DISTURBANCE","2025-01-11 20:45:00",,,,,,,,,"2","INTERVIEW","WHITE","MALE","60","Non-fatal",,"Incident Report"
"A-10355-25","7","109XX Harrow Rd","CLOSED","56D","SIMPLE CRIMINAL DAMAGE (DOMESTIC)","2025-01-12 10:20:00",,,"1","931118","ARRESTED","BLACK","MALE","27","2","VICTIM","BLACK","MALE","27","Non-fatal",,"Incident Report"
"A-10355-25","7","109XX Harrow Rd","CLOSED","56D","SIMPLE CRIMINAL DAMAGE (DOMESTIC)","2025-01-12 10:20:00",,,"2","931162",,"BLACK","FEMALE","27","2","VICTIM","BLACK","MALE","27","Non-fatal",,"Incident Report"
"A-10560-25","8","014XX S Tulane Av","OPEN","21","MISCELLANEOUS INCIDENT","2025-01-12 16:48:00",,,,,,,,,"1","VICTIM","BLACK","FEMALE","39","Non-fatal",,"Incident Report"
"A-10601-25","5","041XX Dauphine St","OPEN","21P","LOST PROPERTY","2025-01-12 17:15:00",,,,,,,,,"1","REPORTING PERSON","WHITE","MALE","66","Non-fatal",,"Incident Report"
"A-10600-25","6","014XX S Tonti St","OPEN","62","SIMPLE BURGLARY","2025-01-12 18:30:00","14 62.3","UNAUTHORIZED ENTRY (INHAB.DWELLING)","1","931163",,"BLACK","FEMALE","40","1","VICTIM","BLACK","MALE","35","Non-fatal",,"Incident Report"
"A-04891-25","2","002XX Henry Clay Av","OPEN","93","CRUELTY TO A JUVENILE","2025-01-06 15:33:00",,,,,,,,,"1","VICTIM","BLACK","FEMALE",,"Non-fatal",,"Incident Report"
"A-10617-25","7","137XX Pierre'S Ct","CLOSED","35D","SIMPLE BATTERY (DOMESTIC)","2025-01-12 19:00:00","14 35.3","DOMESTIC ABUSE BATTERY - SIMPLE","1","931165","ARRESTED","BLACK","FEMALE","21","1","VICTIM","BLACK","FEMALE","40","Non-fatal",,"Incident Report"
"A-10586-25","6","017XX Tchoupitoulas St","OPEN","103","DISTURBANCE","2025-01-11 18:00:00",,,,,,,,,"1","REPORTING PERSON","WHITE","MALE","41","Non-fatal",,"Incident Report"
"A-10600-25","6","014XX S Tonti St","OPEN","62","SIMPLE BURGLARY","2025-01-12 18:30:00",,,"1","931163",,"BLACK","FEMALE","40","2","WITNESS","BLACK","FEMALE","35","Non-fatal",,"Incident Report"
"A-10695-25","8","004XX Bourbon St","OPEN","21","MISCELLANEOUS INCIDENT","2025-01-11 00:00:00",,,,,,,,,"1","REPORTING PERSON","WHITE","MALE","55","Non-fatal",,"Incident Report"
"A-10707-25","3","065XX Fleur De Lis Dr #16","OPEN","103","DISTURBANCE","2025-01-12 21:00:00",,,,,,,,,"1","REPORTING PERSON","WHITE","MALE","55","Non-fatal",,"Incident Report"
"A-10731-25","1","015XX N Broad St","OPEN","67B","BICYCLE THEFT","2025-01-12 00:30:00","14 67","THEFT","1","931167",,"UNKNOWN","UNKNOWN",,"1","VICTIM","BLACK","FEMALE","49","Non-fatal",,"Incident Report"
"M-00058-25","6","012XX Saint Thomas St","OPEN","56","SIMPLE CRIMINAL DAMAGE","2025-01-12 16:25:00","14 56","SIMPLE CRIMINAL DAMAGE TO PROPERTY","1","931172",,"UNKNOWN","UNKNOWN",,"1","VICTIM","WHITE","MALE","41","Non-fatal",,"Incident Report"
"A-10724-25","7","065XX Coveview Ct","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-01-12 22:13:00",,,,,,,,,"1","REPORTING PERSON","BLACK","MALE","38","Non-fatal",,"Incident Report"
"A-10722-25","8","006XX N Rampart St #A","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-01-12 22:09:00",,,,,,,,,"1","REPORTING PERSON","BLACK","FEMALE","53","Non-fatal",,"Incident Report"
"A-10724-25","7","065XX Coveview Ct","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-01-12 22:13:00",,,,,,,,,"2","NON-VICTIM","WHITE","FEMALE","48","Non-fatal",,"Incident Report"
"A-10722-25","8","006XX N Rampart St #A","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-01-12 22:09:00",,,,,,,,,"2","NON-VICTIM","BLACK","MALE","18","Non-fatal",,"Incident Report"
"A-10724-25","7","065XX Coveview Ct","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-01-12 22:13:00",,,,,,,,,"3","INTERVIEW","BLACK","MALE","14","Non-fatal",,"Incident Report"
"A-10722-25","8","006XX N Rampart St #A","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-01-12 22:09:00",,,,,,,,,"3","NON-VICTIM","BLACK","MALE","48","Non-fatal",,"Incident Report"
"A-10722-25","8","006XX N Rampart St #A","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-01-12 22:09:00",,,,,,,,,"4","NON-VICTIM","UNKNOWN","FEMALE",,"Non-fatal",,"Incident Report"
"A-10738-25","8","Baronne St & Common St","OPEN","67","THEFT","2025-01-12 02:45:00","14 67","THEFT","1","931168",,"BLACK","FEMALE",,"1","VICTIM","WHITE","MALE","55","Non-fatal",,"Incident Report"
"A-10738-25","8","Baronne St & Common St","OPEN","67","THEFT","2025-01-12 02:45:00","14 67.16","IDENTITY THEFT","1","931168",,"BLACK","FEMALE",,"1","VICTIM","WHITE","MALE","55","Non-fatal",,"Incident Report"
"A-10750-25","8","013XX Chartres St","OPEN","62C","SIMPLE BURGLARY (VEHICLE)","2025-01-11 17:00:00","14 62","SIMPLE BURGLARY","1","931169",,"UNKNOWN","UNKNOWN",,"1","VICTIM","WHITE","MALE","29","Non-fatal",,"Incident Report"
"A-10769-25","6","027XX Magnolia St","OPEN","56D","SIMPLE CRIMINAL DAMAGE (DOMESTIC)","2025-01-12 23:30:00","14 56","SIMPLE CRIMINAL DAMAGE TO PROPERTY","1","931171","ARRESTED","BLACK","MALE","29","1","VICTIM","BLACK","FEMALE","30","Non-fatal",,"Incident Report"
"A-10745-25","4","033XX Kabel Dr","OPEN","79","VIOLATION OF PROTECTIVE ORDERS","2025-01-12 22:47:00","14 79","VIOLATIONS OF PROTECTIVE ORDERS","1","931174",,"BLACK","MALE","39","1","VICTIM","BLACK","FEMALE","36","Non-fatal",,"Incident Report"
"A-10734-25","5","016XX Mandeville St","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-01-12 22:57:00",,,,,,,,,"1","REPORTING PERSON","BLACK","MALE","24","Non-fatal",,"Incident Report"
"A-10734-25","5","016XX Mandeville St","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-01-12 22:57:00",,,,,,,,,"2","INTERVIEW","WHITE","MALE","38","Non-fatal",,"Incident Report"
"A-10663-25","6","023XX S Roman St","OPEN","103","DISTURBANCE","2025-01-10 17:00:00",,,,,,,,,"1","REPORTING PERSON","WHITE","MALE","46","Non-fatal",,"Incident Report"
"A-10781-25","3","036XX Trafalgar St","CLOSED","63","TRESPASSING","2025-01-12 23:48:00","14 62.3","UNAUTHORIZED ENTRY (INHAB.DWELLING)","1","931175","ARRESTED","WHITE","MALE","44","1","VICTIM","WHITE","FEMALE","48","Non-fatal",,"Incident Report"
"A-10793-25","2","X Mars Pl","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-01-12 22:37:00",,,,,,,,,"1","INTERVIEW","BLACK","MALE","35","Non-fatal",,"Incident Report"
"A-09171-25","4","063XX Essex Ct","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-01-10 18:40:00",,,,,,,,,"1","REPORTING PERSON","WHITE","MALE","57","Non-fatal",,"Incident Report"
"A-10820-25","5","007XX Press","OPEN","24","MEDICAL","2025-01-13 01:24:00",,,,,,,,,"1","VICTIM","WHITE","FEMALE",,"Non-fatal",,"Incident Report"
"A-10820-25","5","007XX Press","OPEN","24","MEDICAL","2025-01-13 01:24:00",,,,,,,,,"2","REPORTING PERSON","WHITE","MALE","23","Non-fatal",,"Incident Report"
"A-10868-25","8","Canal St & Bourbon St","OPEN","21P","LOST PROPERTY","2025-01-13 04:00:00",,,,,,,,,"1","REPORTING PERSON","WHITE","MALE","60","Non-fatal",,"Incident Report"
"A-10868-25","8","Canal St & Bourbon St","OPEN","21P","LOST PROPERTY","2025-01-13 04:00:00",,,,,,,,,"2","NON-VICTIM","WHITE","FEMALE","39","Non-fatal",,"Incident Report"
"A-10899-25","4","063XX Woodland Hw #1F","OPEN","62C","SIMPLE BURGLARY (VEHICLE)","2025-01-13 00:45:00","14 62","SIMPLE BURGLARY","1","931178",,"UNKNOWN","UNKNOWN",,"1","VICTIM","BLACK","FEMALE","22","Non-fatal",,"Incident Report"
"A-10899-25","4","063XX Woodland Hw #1F","OPEN","62C","SIMPLE BURGLARY (VEHICLE)","2025-01-13 00:45:00","14 62","SIMPLE BURGLARY","1","931178",,"UNKNOWN","UNKNOWN",,"2","VICTIM","BLACK","MALE","28","Non-fatal",,"Incident Report"
"A-10878-25","2","018XX Adams St","CLOSED","35","SIMPLE BATTERY","2025-01-13 04:30:00","54 96","BATTERY","1","931180","ARRESTED","BLACK","MALE","41","1","VICTIM","BLACK","FEMALE","62","Non-fatal",,"Incident Report"
"A-06120-25","7","049XX Rosalia Dr","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-01-07 21:01:00",,,,,,,,,"1","VICTIM","UNKNOWN","MALE",,"Non-fatal",,"Incident Report"
"A-10370-25","8","010XX N Peters St","CLOSED","67S","SHOPLIFTING","2025-01-12 11:57:00",,,"1","931153","ARRESTED","BLACK","MALE","40","1","VICTIM",,,,"Non-fatal",,"Incident Report"
"A-10995-25","4","024XX Guadalcanal St","OPEN","56","SIMPLE CRIMINAL DAMAGE","2025-01-09 10:15:00","14 56","SIMPLE CRIMINAL DAMAGE TO PROPERTY","1","931186",,"UNKNOWN","UNKNOWN",,"1","VICTIM",,,,"Non-fatal",,"Incident Report"
"A-10995-25","4","024XX Guadalcanal St","OPEN","56","SIMPLE CRIMINAL DAMAGE","2025-01-09 10:15:00",,,"1","931186",,"UNKNOWN","UNKNOWN",,"2","REPORTING PERSON","WHITE","MALE","55","Non-fatal",,"Incident Report"
"A-06941-25","5","Law St & Pauger St","CLOSED","37","AGGRAVATED ASSAULT","2025-01-08 16:58:00",,,"1","930828","ARRESTED","BLACK","FEMALE","34","6","INTERVIEW","BLACK","FEMALE","35","Non-fatal",,"Supplemental Report"
"A-10939-25","8","008XX Constance #417","OPEN","35D","SIMPLE BATTERY (DOMESTIC)","2025-01-13 06:30:00","14 35.3(L)","ACTS OF DOMESTIC VIOLENCE(STRANGULATION) - SIMPLE","1","931189",,"BLACK","MALE","27","1","VICTIM","BLACK","FEMALE","28","Non-fatal",,"Incident Report"
"A-10939-25","8","008XX Constance #417","OPEN","35D","SIMPLE BATTERY (DOMESTIC)","2025-01-13 06:30:00","14 35.3","DOMESTIC ABUSE BATTERY - SIMPLE","1","931189",,"BLACK","MALE","27","1","VICTIM","BLACK","FEMALE","28","Non-fatal",,"Incident Report"
"A-10976-25","8","003XX Royal St","OPEN","21","MISCELLANEOUS INCIDENT","2025-01-02 12:00:00",,,,,,,,,"1","REPORTING PERSON","BLACK","FEMALE","49","Non-fatal",,"Incident Report"
"A-10955-25","8","008XX Ursulines Av","OPEN","56","SIMPLE CRIMINAL DAMAGE","2025-01-13 00:00:00","14 56","SIMPLE CRIMINAL DAMAGE TO PROPERTY","1","931195",,"WHITE","MALE",,"1","VICTIM","WHITE","FEMALE","27","Non-fatal",,"Incident Report"
"A-10955-25","8","008XX Ursulines Av","OPEN","56","SIMPLE CRIMINAL DAMAGE","2025-01-13 00:00:00",,,"1","931195",,"WHITE","MALE",,"2","INTERVIEW","WHITE","FEMALE","52","Non-fatal",,"Incident Report"
"A-06488-25","3","058XX Saint Roch Av","CLOSED","67","THEFT","2025-01-07 14:45:00","14 67","THEFT","1","931197","ARRESTED","BLACK","MALE","14","1","VICTIM",,,,"Non-fatal",,"Supplemental Report"
"A-06488-25","3","058XX Saint Roch Av","CLOSED","67","THEFT","2025-01-07 14:45:00",,,"1","931197","ARRESTED","BLACK","MALE","14","2","VICTIM","BLACK","FEMALE","42","Non-fatal",,"Supplemental Report"
"A-06488-25","3","058XX Saint Roch Av","CLOSED","67","THEFT","2025-01-07 14:45:00",,,"1","931197","ARRESTED","BLACK","MALE","14","3","VICTIM","BLACK","FEMALE","47","Non-fatal",,"Supplemental Report"
"A-06488-25","3","058XX Saint Roch Av","CLOSED","67","THEFT","2025-01-07 14:45:00",,,"1","931197","ARRESTED","BLACK","MALE","14","4","REPORTING PERSON","BLACK","MALE","40","Non-fatal",,"Supplemental Report"
"A-10958-25","2","032XX Cherry St","OPEN","56","SIMPLE CRIMINAL DAMAGE","2025-01-13 01:00:00","14 56","SIMPLE CRIMINAL DAMAGE TO PROPERTY","1","931196",,"UNKNOWN","UNKNOWN",,"1","VICTIM","WHITE","FEMALE","43","Non-fatal",,"Incident Report"
"A-11039-25","7","077XX Read Bd","OPEN","43B","SEXUAL BATTERY","2025-01-08 10:42:00",,,,,,,,,"1","VICTIM","BLACK","FEMALE","4","Non-fatal",,"Incident Report"
"A-11054-25","2","051XX Laurel St","OPEN","62C","SIMPLE BURGLARY (VEHICLE)","2025-01-11 01:00:00","14 62","SIMPLE BURGLARY","1","931198",,"UNKNOWN","UNKNOWN",,"1","VICTIM","BLACK","MALE","65","Non-fatal",,"Incident Report"
"A-11062-25","6","013XX Oretha Castle Haley Bd","OPEN","67B","BICYCLE THEFT","2025-01-12 10:15:00","14 67","THEFT","1","931199",,"UNKNOWN","UNKNOWN",,"1","VICTIM","UNKNOWN","FEMALE","48","Non-fatal",,"Incident Report"
"A-10982-25","3","016XX Allen Toussaint Bd","OPEN","67A","AUTO THEFT","2025-01-12 03:00:00","14 67.26","THEFT OF A MOTOR VEHICLE","1","931200",,"UNKNOWN","UNKNOWN",,"1","VICTIM","BLACK","FEMALE","46","Non-fatal",,"Incident Report"
"A-11092-25","6","008XX Toledano St","OPEN","67F","THEFT BY FRAUD","2025-01-12 08:00:00","14 67.16","IDENTITY THEFT","1","931201",,"UNKNOWN","UNKNOWN",,"1","VICTIM","ASIAN","FEMALE","38","Non-fatal",,"Incident Report"
"A-10261-25","8","003XX N Peters St","OPEN","62C","SIMPLE BURGLARY (VEHICLE)","2025-01-12 08:45:00","14 62","SIMPLE BURGLARY","1","931204",,"UNKNOWN","UNKNOWN",,"1","VICTIM","WHITE","MALE","44","Non-fatal",,"Incident Report"
"A-10433-25","4","045XX Macarthur Bd #220","CLOSED","35D","SIMPLE BATTERY (DOMESTIC)","2025-01-12 12:30:00","14 35.3","DOMESTIC ABUSE BATTERY - SIMPLE","1","931206","ARRESTED","BLACK","FEMALE","25","1","VICTIM","BLACK","FEMALE","24","Non-fatal",,"Supplemental Report"
"A-10547-25","6","024XX Freret St","OPEN","35D","SIMPLE BATTERY (DOMESTIC)","2025-01-12 16:41:00",,,,,,,,,"1","VICTIM","BLACK","FEMALE","24","Non-fatal",,"Incident Report"
"A-11114-25","7","134XX Granville St","OPEN","56","SIMPLE CRIMINAL DAMAGE","2025-01-13 08:00:00","14 56","SIMPLE CRIMINAL DAMAGE TO PROPERTY","1","931210",,"UNKNOWN","UNKNOWN",,"1","VICTIM",,,,"Non-fatal",,"Incident Report"
"A-10589-25","8","S Peters St & S Diamond St","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-01-12 18:01:00",,,,,,,,,"1","VICTIM","UNKNOWN","UNKNOWN",,"Non-fatal",,"Incident Report"
"A-10589-25","8","S Peters St & S Diamond St","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-01-12 18:01:00",,,,,,,,,"2","REPORTING PERSON","UNKNOWN","FEMALE",,"Non-fatal",,"Incident Report"
"A-11114-25","7","134XX Granville St","OPEN","56","SIMPLE CRIMINAL DAMAGE","2025-01-13 08:00:00",,,"1","931210",,"UNKNOWN","UNKNOWN",,"2","REPORTING PERSON","ASIAN","FEMALE","26","Non-fatal",,"Incident Report"
"A-07264-25","6","043XX Magazine St","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-01-08 23:57:00",,,,,,,,,"1","REPORTING PERSON","UNKNOWN","MALE",,"Non-fatal",,"Incident Report"
"A-11018-25","4","044XX Maple Leaf Dr","OPEN","62C","SIMPLE BURGLARY (VEHICLE)","2025-01-13 02:30:00","14 62","SIMPLE BURGLARY","1","931213",,"UNKNOWN","UNKNOWN",,"1","VICTIM","BLACK","FEMALE","24","Non-fatal",,"Incident Report"
"A-11018-25","4","044XX Maple Leaf Dr","OPEN","62C","SIMPLE BURGLARY (VEHICLE)","2025-01-13 02:30:00","14 62","SIMPLE BURGLARY","1","931213",,"UNKNOWN","UNKNOWN",,"2","VICTIM","BLACK","FEMALE","44","Non-fatal",,"Incident Report"
"A-10603-25","2","028XX Jackson St #A","OPEN","35D","SIMPLE BATTERY (DOMESTIC)","2025-01-12 18:40:00",,,,,,,,,"1","VICTIM","BLACK","FEMALE","32","Non-fatal",,"Incident Report"
"A-10603-25","2","028XX Jackson St #A","OPEN","35D","SIMPLE BATTERY (DOMESTIC)","2025-01-12 18:40:00",,,,,,,,,"2","REPORTING PERSON","UNKNOWN","FEMALE",,"Non-fatal",,"Incident Report"
"A-11157-25","3","002XX S Bernadotte St","OPEN","62C","SIMPLE BURGLARY (VEHICLE)","2025-01-12 00:00:00","14 62","SIMPLE BURGLARY","1","931214",,"UNKNOWN","UNKNOWN",,"1","VICTIM","UNKNOWN","FEMALE","41","Non-fatal",,"Incident Report"
"A-11157-25","3","002XX S Bernadotte St","OPEN","62C","SIMPLE BURGLARY (VEHICLE)","2025-01-12 00:00:00","14 56","SIMPLE CRIMINAL DAMAGE TO PROPERTY","1","931214",,"UNKNOWN","UNKNOWN",,"1","VICTIM","UNKNOWN","FEMALE","41","Non-fatal",,"Incident Report"
"A-11121-25","2","088XX Fig St","OPEN","103","DISTURBANCE","2025-01-13 11:00:00",,,,,,,,,"1","REPORTING PERSON","BLACK","FEMALE","38","Non-fatal",,"Incident Report"
"A-11121-25","2","088XX Fig St","OPEN","103","DISTURBANCE","2025-01-13 11:00:00",,,,,,,,,"2","INTERVIEW","BLACK","FEMALE","32","Non-fatal",,"Incident Report"
"A-11121-25","2","088XX Fig St","OPEN","103","DISTURBANCE","2025-01-13 11:00:00",,,,,,,,,"3","INTERVIEW","BLACK","FEMALE","62","Non-fatal",,"Incident Report"
"A-11121-25","2","088XX Fig St","OPEN","103","DISTURBANCE","2025-01-13 11:00:00",,,,,,,,,"4","INTERVIEW","BLACK","MALE","40","Non-fatal",,"Incident Report"
"A-11163-25","2","028XX Calhoun St","OPEN","67","THEFT","2025-01-13 02:45:00",,,,,,,,,"1","VICTIM","WHITE","FEMALE","21","Non-fatal",,"Incident Report"
"A-01373-25","7","084XX S I-10 Service Rd","OPEN","62C","SIMPLE BURGLARY (VEHICLE)","2025-01-02 10:25:00","14 (24) 62","PRINCIPAL TO SIMPLE BURGLARY","1","931216",,"BLACK","FEMALE",,"1","VICTIM","WHITE","MALE",,"Non-fatal",,"Supplemental Report"
"A-01373-25","7","084XX S I-10 Service Rd","OPEN","62C","SIMPLE BURGLARY (VEHICLE)","2025-01-02 10:25:00","14 62","SIMPLE BURGLARY","2","931217",,"BLACK","MALE","27","1","VICTIM","WHITE","MALE",,"Non-fatal",,"Supplemental Report"
